,Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,Individuals Directly Served,Population Estimate 2000m,geometry,pop_sum
445,Rwanda - Katabuvuga - 1014095,Rusizi,Katabuvuga,1014095,Identified,Technical,006f100000d1fVuAAI,2019,2490.0,9088.0,"POLYGON ((29.04031 -2.63441, 29.040170357073496 -2.6372524970695572, 29.039752773131696 -2.640067619338468, 29.039061269736237 -2.6428282556403793, 29.03810250644283 -2.6455078195385875, 29.036885716666102 -2.648080505367954, 29.035422618756776 -2.6505215367575685, 29.033727303147522 -2.6528074052407455, 29.03181609665441 -2.65491609665441, 29.029707405240746 -2.6568273031475194, 29.02742153675757 -2.658522618756774, 29.024980505367957 -2.6599857166661023, 29.02240781953859 -2.661202506442827, 29.01972825564038 -2.662161269736234, 29.01696761933847 -2.6628527731316938, 29.01415249706956 -2.6632703570734937, 29.01131 -2.66341, 29.008467502930444 -2.6632703570734937, 29.005652380661534 -2.6628527731316938, 29.002891744359623 -2.662161269736234, 29.000212180461414 -2.661202506442827, 28.997639494632047 -2.6599857166661023, 28.995198463242435 -2.658522618756774, 28.992912594759257 -2.6568273031475194, 28.990803903345594 -2.65491609665441, 28.98889269685248 -2.6528074052407455, 28.987197381243227 -2.6505215367575685, 28.9857342833339 -2.648080505367954, 28.984517493557174 -2.6455078195385875, 28.983558730263766 -2.6428282556403793, 28.982867226868308 -2.640067619338468, 28.982449642926507 -2.6372524970695572, 28.982310000000002 -2.63441, 28.982449642926507 -2.6315675029304426, 28.982867226868308 -2.628752380661532, 28.983558730263766 -2.6259917443596206, 28.984517493557174 -2.6233121804614123, 28.9857342833339 -2.620739494632046, 28.987197381243227 -2.6182984632424313, 28.98889269685248 -2.6160125947592543, 28.990803903345594 -2.61390390334559, 28.992912594759257 -2.6119926968524805, 28.995198463242435 -2.610297381243226, 28.997639494632047 -2.6088342833338976, 29.000212180461414 -2.6076174935571728, 29.002891744359623 -2.606658730263766, 29.005652380661534 -2.605967226868306, 29.008467502930444 -2.605549642926506, 29.01131 -2.60541, 29.01415249706956 -2.605549642926506, 29.01696761933847 -2.605967226868306, 29.01972825564038 -2.606658730263766, 29.02240781953859 -2.6076174935571728, 29.024980505367957 -2.6088342833338976, 29.02742153675757 -2.610297381243226, 29.029707405240746 -2.6119926968524805, 29.03181609665441 -2.61390390334559, 29.033727303147522 -2.6160125947592543, 29.035422618756776 -2.6182984632424313, 29.036885716666102 -2.620739494632046, 29.03810250644283 -2.6233121804614123, 29.039061269736237 -2.6259917443596206, 29.039752773131696 -2.628752380661532, 29.040170357073496 -2.6315675029304426, 29.04031 -2.63441))",47297
446,Rwanda - Kibobo-Rwingeyo - 1014613,Gasabo,Kibobo-Rwingeyo,1014613,Identified,Technical,006f100000efHCDAA2,2019,3218.0,5379.0,"POLYGON ((30.26229 -1.864099, 30.262150357073494 -1.8669414970695573, 30.261732773131694 -1.8697566193384676, 30.261041269736236 -1.8725172556403793, 30.260082506442828 -1.8751968195385875, 30.2588657166661 -1.877769505367954, 30.257402618756775 -1.8802105367575683, 30.25570730314752 -1.8824964052407456, 30.25379609665441 -1.88460509665441, 30.251687405240745 -1.8865163031475194, 30.249401536757567 -1.8882116187567737, 30.246960505367955 -1.8896747166661023, 30.244387819538588 -1.8908915064428273, 30.24170825564038 -1.891850269736234, 30.238947619338468 -1.8925417731316936, 30.23613249706956 -1.8929593570734937, 30.23329 -1.8930989999999999, 30.230447502930442 -1.8929593570734937, 30.227632380661532 -1.8925417731316936, 30.22487174435962 -1.891850269736234, 30.222192180461413 -1.8908915064428273, 30.219619494632045 -1.8896747166661023, 30.217178463242433 -1.8882116187567737, 30.214892594759256 -1.8865163031475194, 30.212783903345592 -1.88460509665441, 30.21087269685248 -1.8824964052407456, 30.209177381243226 -1.8802105367575683, 30.2077142833339 -1.877769505367954, 30.206497493557173 -1.8751968195385875, 30.205538730263765 -1.8725172556403793, 30.204847226868306 -1.8697566193384676, 30.204429642926506 -1.8669414970695573, 30.20429 -1.864099, 30.204429642926506 -1.8612565029304426, 30.204847226868306 -1.8584413806615323, 30.205538730263765 -1.8556807443596206, 30.206497493557173 -1.8530011804614124, 30.2077142833339 -1.850428494632046, 30.209177381243226 -1.8479874632424316, 30.21087269685248 -1.8457015947592543, 30.212783903345592 -1.84359290334559, 30.214892594759256 -1.8416816968524805, 30.217178463242433 -1.8399863812432262, 30.219619494632045 -1.8385232833338976, 30.222192180461413 -1.8373064935571726, 30.22487174435962 -1.8363477302637659, 30.227632380661532 -1.8356562268683063, 30.230447502930442 -1.8352386429265062, 30.23329 -1.835099, 30.23613249706956 -1.8352386429265062, 30.238947619338468 -1.8356562268683063, 30.24170825564038 -1.8363477302637659, 30.244387819538588 -1.8373064935571726, 30.246960505367955 -1.8385232833338976, 30.249401536757567 -1.8399863812432262, 30.251687405240745 -1.8416816968524805, 30.25379609665441 -1.84359290334559, 30.25570730314752 -1.8457015947592543, 30.257402618756775 -1.8479874632424316, 30.2588657166661 -1.850428494632046, 30.260082506442828 -1.8530011804614124, 30.261041269736236 -1.8556807443596206, 30.261732773131694 -1.8584413806615323, 30.262150357073494 -1.8612565029304426, 30.26229 -1.864099))",17903
447,Rwanda - Ntenyi - 1013985,Rusizi,Ntenyi,1013985,Identified,Technical,006f100000d1TswAAE,2019,3384.0,8414.0,"POLYGON ((28.98201 -2.60778, 28.981870357073493 -2.6106224970695573, 28.981452773131693 -2.613437619338468, 28.980761269736234 -2.6161982556403793, 28.979802506442827 -2.6188778195385876, 28.9785857166661 -2.621450505367954, 28.977122618756773 -2.6238915367575686, 28.97542730314752 -2.6261774052407456, 28.973516096654407 -2.62828609665441, 28.971407405240743 -2.6301973031475194, 28.969121536757566 -2.631892618756774, 28.966680505367954 -2.6333557166661024, 28.964107819538587 -2.634572506442827, 28.961428255640378 -2.635531269736234, 28.958667619338467 -2.636222773131694, 28.955852497069557 -2.6366403570734938, 28.95301 -2.63678, 28.95016750293044 -2.6366403570734938, 28.94735238066153 -2.636222773131694, 28.94459174435962 -2.635531269736234, 28.94191218046141 -2.634572506442827, 28.939339494632044 -2.6333557166661024, 28.936898463242432 -2.631892618756774, 28.934612594759255 -2.6301973031475194, 28.93250390334559 -2.62828609665441, 28.93059269685248 -2.6261774052407456, 28.928897381243225 -2.6238915367575686, 28.9274342833339 -2.621450505367954, 28.92621749355717 -2.6188778195385876, 28.925258730263764 -2.6161982556403793, 28.924567226868305 -2.613437619338468, 28.924149642926505 -2.6106224970695573, 28.92401 -2.60778, 28.924149642926505 -2.6049375029304427, 28.924567226868305 -2.602122380661532, 28.925258730263764 -2.5993617443596206, 28.92621749355717 -2.5966821804614124, 28.9274342833339 -2.594109494632046, 28.928897381243225 -2.5916684632424314, 28.93059269685248 -2.5893825947592544, 28.93250390334559 -2.58727390334559, 28.934612594759255 -2.5853626968524805, 28.936898463242432 -2.583667381243226, 28.939339494632044 -2.5822042833338976, 28.94191218046141 -2.580987493557173, 28.94459174435962 -2.580028730263766, 28.94735238066153 -2.579337226868306, 28.95016750293044 -2.578919642926506, 28.95301 -2.57878, 28.955852497069557 -2.578919642926506, 28.958667619338467 -2.579337226868306, 28.961428255640378 -2.580028730263766, 28.964107819538587 -2.580987493557173, 28.966680505367954 -2.5822042833338976, 28.969121536757566 -2.583667381243226, 28.971407405240743 -2.5853626968524805, 28.973516096654407 -2.58727390334559, 28.97542730314752 -2.5893825947592544, 28.977122618756773 -2.5916684632424314, 28.9785857166661 -2.594109494632046, 28.979802506442827 -2.5966821804614124, 28.980761269736234 -2.5993617443596206, 28.981452773131693 -2.602122380661532, 28.981870357073493 -2.6049375029304427, 28.98201 -2.60778))",21350
448,Rwanda - Buzi - 1014107,Rusizi,Buzi,1014107,Identified,Technical,006f100000d1fk1AAA,2019,2859.0,11362.0,"POLYGON ((28.9952 -2.42056, 28.995060357073495 -2.4234024970695573, 28.994642773131694 -2.426217619338468, 28.993951269736236 -2.4289782556403794, 28.992992506442828 -2.4316578195385876, 28.9917757166661 -2.434230505367954, 28.990312618756775 -2.4366715367575686, 28.98861730314752 -2.4389574052407457, 28.98670609665441 -2.44106609665441, 28.984597405240745 -2.4429773031475195, 28.982311536757567 -2.444672618756774, 28.979870505367956 -2.4461357166661024, 28.977297819538588 -2.447352506442827, 28.97461825564038 -2.448311269736234, 28.97185761933847 -2.449002773131694, 28.96904249706956 -2.449420357073494, 28.9662 -2.44956, 28.963357502930442 -2.449420357073494, 28.960542380661533 -2.449002773131694, 28.95778174435962 -2.448311269736234, 28.955102180461413 -2.447352506442827, 28.952529494632046 -2.4461357166661024, 28.950088463242434 -2.444672618756774, 28.947802594759256 -2.4429773031475195, 28.945693903345592 -2.44106609665441, 28.94378269685248 -2.4389574052407457, 28.942087381243226 -2.4366715367575686, 28.9406242833339 -2.434230505367954, 28.939407493557173 -2.4316578195385876, 28.938448730263765 -2.4289782556403794, 28.937757226868307 -2.426217619338468, 28.937339642926506 -2.4234024970695573, 28.9372 -2.42056, 28.937339642926506 -2.4177175029304427, 28.937757226868307 -2.414902380661532, 28.938448730263765 -2.4121417443596207, 28.939407493557173 -2.4094621804614125, 28.9406242833339 -2.406889494632046, 28.942087381243226 -2.4044484632424314, 28.94378269685248 -2.4021625947592544, 28.945693903345592 -2.40005390334559, 28.947802594759256 -2.3981426968524806, 28.950088463242434 -2.396447381243226, 28.952529494632046 -2.3949842833338977, 28.955102180461413 -2.393767493557173, 28.95778174435962 -2.392808730263766, 28.960542380661533 -2.392117226868306, 28.963357502930442 -2.3916996429265063, 28.9662 -2.39156, 28.96904249706956 -2.3916996429265063, 28.97185761933847 -2.392117226868306, 28.97461825564038 -2.392808730263766, 28.977297819538588 -2.393767493557173, 28.979870505367956 -2.3949842833338977, 28.982311536757567 -2.396447381243226, 28.984597405240745 -2.3981426968524806, 28.98670609665441 -2.40005390334559, 28.98861730314752 -2.4021625947592544, 28.990312618756775 -2.4044484632424314, 28.9917757166661 -2.406889494632046, 28.992992506442828 -2.4094621804614125, 28.993951269736236 -2.4121417443596207, 28.994642773131694 -2.414902380661532, 28.995060357073495 -2.4177175029304427, 28.9952 -2.42056))",22279
449,Rwanda - Kiyovu-buhanda - 1014094,Rusizi,Kiyovu-buhanda,1014094,Complete,In Service,006f100000d1fVpAAI,2023,1259.0,10592.0,"POLYGON ((29.05929 -2.70183, 29.059150357073495 -2.7046724970695575, 29.058732773131695 -2.707487619338468, 29.058041269736236 -2.7102482556403795, 29.05708250644283 -2.7129278195385877, 29.0558657166661 -2.715500505367954, 29.054402618756775 -2.7179415367575688, 29.05270730314752 -2.720227405240746, 29.05079609665441 -2.72233609665441, 29.048687405240745 -2.7242473031475196, 29.046401536757568 -2.725942618756774, 29.043960505367956 -2.7274057166661025, 29.04138781953859 -2.7286225064428273, 29.03870825564038 -2.7295812697362343, 29.03594761933847 -2.730272773131694, 29.03313249706956 -2.730690357073494, 29.03029 -2.73083, 29.027447502930443 -2.730690357073494, 29.024632380661533 -2.730272773131694, 29.021871744359622 -2.7295812697362343, 29.019192180461413 -2.7286225064428273, 29.016619494632046 -2.7274057166661025, 29.014178463242434 -2.725942618756774, 29.011892594759257 -2.7242473031475196, 29.009783903345593 -2.72233609665441, 29.00787269685248 -2.720227405240746, 29.006177381243226 -2.7179415367575688, 29.0047142833339 -2.715500505367954, 29.003497493557173 -2.7129278195385877, 29.002538730263765 -2.7102482556403795, 29.001847226868307 -2.707487619338468, 29.001429642926507 -2.7046724970695575, 29.00129 -2.70183, 29.001429642926507 -2.698987502930443, 29.001847226868307 -2.6961723806615323, 29.002538730263765 -2.693411744359621, 29.003497493557173 -2.6907321804614126, 29.0047142833339 -2.688159494632046, 29.006177381243226 -2.6857184632424316, 29.00787269685248 -2.6834325947592546, 29.009783903345593 -2.6813239033455902, 29.011892594759257 -2.6794126968524807, 29.014178463242434 -2.6777173812432262, 29.016619494632046 -2.676254283333898, 29.019192180461413 -2.675037493557173, 29.021871744359622 -2.674078730263766, 29.024632380661533 -2.6733872268683063, 29.027447502930443 -2.6729696429265064, 29.03029 -2.6728300000000003, 29.03313249706956 -2.6729696429265064, 29.03594761933847 -2.6733872268683063, 29.03870825564038 -2.674078730263766, 29.04138781953859 -2.675037493557173, 29.043960505367956 -2.676254283333898, 29.046401536757568 -2.6777173812432262, 29.048687405240745 -2.6794126968524807, 29.05079609665441 -2.6813239033455902, 29.05270730314752 -2.6834325947592546, 29.054402618756775 -2.6857184632424316, 29.0558657166661 -2.688159494632046, 29.05708250644283 -2.6907321804614126, 29.058041269736236 -2.693411744359621, 29.058732773131695 -2.6961723806615323, 29.059150357073495 -2.698987502930443, 29.05929 -2.70183))",35680
450,Rwanda - Kanyangesa - 1014274,Kamonyi,Kanyangesa,1014274,Identified,Technical,006f100000eekcKAAQ,2019,2055.0,6419.0,"POLYGON ((29.87235 -2.06966, 29.872210357073495 -2.072502497069557, 29.871792773131695 -2.0753176193384677, 29.871101269736236 -2.078078255640379, 29.87014250644283 -2.0807578195385874, 29.8689257166661 -2.083330505367954, 29.867462618756775 -2.0857715367575684, 29.86576730314752 -2.0880574052407455, 29.86385609665441 -2.0901660966544098, 29.861747405240745 -2.0920773031475193, 29.859461536757568 -2.093772618756774, 29.857020505367956 -2.095235716666102, 29.85444781953859 -2.096452506442827, 29.85176825564038 -2.097411269736234, 29.84900761933847 -2.0981027731316937, 29.84619249706956 -2.0985203570734936, 29.84335 -2.0986599999999997, 29.840507502930443 -2.0985203570734936, 29.837692380661533 -2.0981027731316937, 29.834931744359622 -2.097411269736234, 29.832252180461413 -2.096452506442827, 29.829679494632046 -2.095235716666102, 29.827238463242434 -2.093772618756774, 29.824952594759257 -2.0920773031475193, 29.822843903345593 -2.0901660966544098, 29.82093269685248 -2.0880574052407455, 29.819237381243227 -2.0857715367575684, 29.8177742833339 -2.083330505367954, 29.816557493557173 -2.0807578195385874, 29.815598730263766 -2.078078255640379, 29.814907226868307 -2.0753176193384677, 29.814489642926507 -2.072502497069557, 29.81435 -2.06966, 29.814489642926507 -2.0668175029304425, 29.814907226868307 -2.064002380661532, 29.815598730263766 -2.0612417443596205, 29.816557493557173 -2.0585621804614123, 29.8177742833339 -2.055989494632046, 29.819237381243227 -2.0535484632424312, 29.82093269685248 -2.051262594759254, 29.822843903345593 -2.04915390334559, 29.824952594759257 -2.0472426968524804, 29.827238463242434 -2.045547381243226, 29.829679494632046 -2.0440842833338975, 29.832252180461413 -2.0428674935571727, 29.834931744359622 -2.0419087302637657, 29.837692380661533 -2.041217226868306, 29.840507502930443 -2.040799642926506, 29.84335 -2.04066, 29.84619249706956 -2.040799642926506, 29.84900761933847 -2.041217226868306, 29.85176825564038 -2.0419087302637657, 29.85444781953859 -2.0428674935571727, 29.857020505367956 -2.0440842833338975, 29.859461536757568 -2.045547381243226, 29.861747405240745 -2.0472426968524804, 29.86385609665441 -2.04915390334559, 29.86576730314752 -2.051262594759254, 29.867462618756775 -2.0535484632424312, 29.8689257166661 -2.055989494632046, 29.87014250644283 -2.0585621804614123, 29.871101269736236 -2.0612417443596205, 29.871792773131695 -2.064002380661532, 29.872210357073495 -2.0668175029304425, 29.87235 -2.06966))",21576
451,Rwanda - Mukunguri - 1014275,Kamonyi,Mukunguri,1014275,Identified,Technical,006f100000eekcPAAQ,2019,1858.0,5880.0,"POLYGON ((29.89779 -2.05318, 29.897650357073495 -2.056022497069557, 29.897232773131694 -2.0588376193384677, 29.896541269736236 -2.061598255640379, 29.895582506442828 -2.0642778195385874, 29.8943657166661 -2.066850505367954, 29.892902618756775 -2.0692915367575684, 29.89120730314752 -2.0715774052407454, 29.88929609665441 -2.0736860966544097, 29.887187405240745 -2.0755973031475192, 29.884901536757567 -2.0772926187567737, 29.882460505367956 -2.078755716666102, 29.879887819538588 -2.079972506442827, 29.87720825564038 -2.080931269736234, 29.87444761933847 -2.0816227731316936, 29.87163249706956 -2.0820403570734936, 29.86879 -2.0821799999999997, 29.865947502930442 -2.0820403570734936, 29.863132380661533 -2.0816227731316936, 29.86037174435962 -2.080931269736234, 29.857692180461413 -2.079972506442827, 29.855119494632046 -2.078755716666102, 29.852678463242434 -2.0772926187567737, 29.850392594759256 -2.0755973031475192, 29.848283903345592 -2.0736860966544097, 29.84637269685248 -2.0715774052407454, 29.844677381243226 -2.0692915367575684, 29.8432142833339 -2.066850505367954, 29.841997493557173 -2.0642778195385874, 29.841038730263765 -2.061598255640379, 29.840347226868307 -2.0588376193384677, 29.839929642926506 -2.056022497069557, 29.83979 -2.05318, 29.839929642926506 -2.0503375029304425, 29.840347226868307 -2.047522380661532, 29.841038730263765 -2.0447617443596204, 29.841997493557173 -2.042082180461412, 29.8432142833339 -2.039509494632046, 29.844677381243226 -2.037068463242431, 29.84637269685248 -2.034782594759254, 29.848283903345592 -2.03267390334559, 29.850392594759256 -2.0307626968524803, 29.852678463242434 -2.029067381243226, 29.855119494632046 -2.0276042833338974, 29.857692180461413 -2.0263874935571726, 29.86037174435962 -2.0254287302637657, 29.863132380661533 -2.024737226868306, 29.865947502930442 -2.024319642926506, 29.86879 -2.02418, 29.87163249706956 -2.024319642926506, 29.87444761933847 -2.024737226868306, 29.87720825564038 -2.0254287302637657, 29.879887819538588 -2.0263874935571726, 29.882460505367956 -2.0276042833338974, 29.884901536757567 -2.029067381243226, 29.887187405240745 -2.0307626968524803, 29.88929609665441 -2.03267390334559, 29.89120730314752 -2.034782594759254, 29.892902618756775 -2.037068463242431, 29.8943657166661 -2.039509494632046, 29.895582506442828 -2.042082180461412, 29.896541269736236 -2.0447617443596204, 29.897232773131694 -2.047522380661532, 29.897650357073495 -2.0503375029304425, 29.89779 -2.05318))",21922
452,Rwanda - Gaseke - 1014511,Ngoma,Gaseke,1014511,Identified,Technical,006f100000ef7oOAAQ,2019,7563.0,3198.0,"POLYGON ((30.441562 -2.008345, 30.441422357073495 -2.011187497069557, 30.441004773131695 -2.0140026193384677, 30.440313269736237 -2.016763255640379, 30.43935450644283 -2.0194428195385874, 30.438137716666102 -2.022015505367954, 30.436674618756776 -2.0244565367575684, 30.43497930314752 -2.0267424052407454, 30.43306809665441 -2.0288510966544098, 30.430959405240745 -2.0307623031475193, 30.428673536757568 -2.0324576187567738, 30.426232505367956 -2.033920716666102, 30.42365981953859 -2.035137506442827, 30.42098025564038 -2.036096269736234, 30.41821961933847 -2.0367877731316937, 30.41540449706956 -2.0372053570734936, 30.412562 -2.0373449999999997, 30.409719502930443 -2.0372053570734936, 30.406904380661533 -2.0367877731316937, 30.404143744359622 -2.036096269736234, 30.401464180461414 -2.035137506442827, 30.398891494632046 -2.033920716666102, 30.396450463242434 -2.0324576187567738, 30.394164594759257 -2.0307623031475193, 30.392055903345593 -2.0288510966544098, 30.39014469685248 -2.0267424052407454, 30.388449381243227 -2.0244565367575684, 30.3869862833339 -2.022015505367954, 30.385769493557174 -2.0194428195385874, 30.384810730263766 -2.016763255640379, 30.384119226868307 -2.0140026193384677, 30.383701642926507 -2.011187497069557, 30.383562 -2.008345, 30.383701642926507 -2.0055025029304425, 30.384119226868307 -2.002687380661532, 30.384810730263766 -1.9999267443596205, 30.385769493557174 -1.9972471804614123, 30.3869862833339 -1.9946744946320458, 30.388449381243227 -1.9922334632424314, 30.39014469685248 -1.9899475947592542, 30.392055903345593 -1.9878389033455899, 30.394164594759257 -1.9859276968524804, 30.396450463242434 -1.984232381243226, 30.398891494632046 -1.9827692833338975, 30.401464180461414 -1.9815524935571724, 30.404143744359622 -1.9805937302637657, 30.406904380661533 -1.9799022268683062, 30.409719502930443 -1.979484642926506, 30.412562 -1.979345, 30.41540449706956 -1.979484642926506, 30.41821961933847 -1.9799022268683062, 30.42098025564038 -1.9805937302637657, 30.42365981953859 -1.9815524935571724, 30.426232505367956 -1.9827692833338975, 30.428673536757568 -1.984232381243226, 30.430959405240745 -1.9859276968524804, 30.43306809665441 -1.9878389033455899, 30.43497930314752 -1.9899475947592542, 30.436674618756776 -1.9922334632424314, 30.438137716666102 -1.9946744946320458, 30.43935450644283 -1.9972471804614123, 30.440313269736237 -1.9999267443596205, 30.441004773131695 -2.002687380661532, 30.441422357073495 -2.0055025029304425, 30.441562 -2.008345))",17132
453,Rwanda - Kamigisha - 1014106,Rusizi,Kamigisha,1014106,Identified,Technical,006f100000d1fjwAAA,2019,3398.0,11901.0,"POLYGON ((28.98626 -2.42486, 28.986120357073496 -2.427702497069557, 28.985702773131695 -2.4305176193384677, 28.985011269736237 -2.433278255640379, 28.98405250644283 -2.4359578195385874, 28.982835716666102 -2.438530505367954, 28.981372618756776 -2.4409715367575684, 28.979677303147522 -2.4432574052407454, 28.97776609665441 -2.4453660966544097, 28.975657405240746 -2.4472773031475192, 28.97337153675757 -2.4489726187567737, 28.970930505367956 -2.450435716666102, 28.96835781953859 -2.451652506442827, 28.96567825564038 -2.452611269736234, 28.96291761933847 -2.4533027731316936, 28.96010249706956 -2.4537203570734936, 28.95726 -2.4538599999999997, 28.954417502930443 -2.4537203570734936, 28.951602380661534 -2.4533027731316936, 28.948841744359623 -2.452611269736234, 28.946162180461414 -2.451652506442827, 28.943589494632047 -2.450435716666102, 28.941148463242435 -2.4489726187567737, 28.938862594759257 -2.4472773031475192, 28.936753903345593 -2.4453660966544097, 28.93484269685248 -2.4432574052407454, 28.933147381243227 -2.4409715367575684, 28.9316842833339 -2.438530505367954, 28.930467493557174 -2.4359578195385874, 28.929508730263766 -2.433278255640379, 28.928817226868308 -2.4305176193384677, 28.928399642926507 -2.427702497069557, 28.92826 -2.42486, 28.928399642926507 -2.4220175029304425, 28.928817226868308 -2.419202380661532, 28.929508730263766 -2.4164417443596204, 28.930467493557174 -2.413762180461412, 28.9316842833339 -2.411189494632046, 28.933147381243227 -2.408748463242431, 28.93484269685248 -2.406462594759254, 28.936753903345593 -2.40435390334559, 28.938862594759257 -2.4024426968524804, 28.941148463242435 -2.400747381243226, 28.943589494632047 -2.3992842833338974, 28.946162180461414 -2.3980674935571726, 28.948841744359623 -2.3971087302637657, 28.951602380661534 -2.396417226868306, 28.954417502930443 -2.395999642926506, 28.95726 -2.39586, 28.96010249706956 -2.395999642926506, 28.96291761933847 -2.396417226868306, 28.96567825564038 -2.3971087302637657, 28.96835781953859 -2.3980674935571726, 28.970930505367956 -2.3992842833338974, 28.97337153675757 -2.400747381243226, 28.975657405240746 -2.4024426968524804, 28.97776609665441 -2.40435390334559, 28.979677303147522 -2.406462594759254, 28.981372618756776 -2.408748463242431, 28.982835716666102 -2.411189494632046, 28.98405250644283 -2.413762180461412, 28.985011269736237 -2.4164417443596204, 28.985702773131695 -2.419202380661532, 28.986120357073496 -2.4220175029304425, 28.98626 -2.42486))",23203
454,Rwanda - Nyagasozi - 1013979,Rusizi,Nyagasozi,1013979,Identified,Technical,006f100000d1TsSAAU,2019,5081.0,8408.0,"POLYGON ((29.00557 -2.57813, 29.005430357073493 -2.580972497069557, 29.005012773131693 -2.5837876193384677, 29.004321269736234 -2.586548255640379, 29.003362506442826 -2.5892278195385874, 29.0021457166661 -2.591800505367954, 29.000682618756773 -2.5942415367575684, 28.99898730314752 -2.5965274052407454, 28.997076096654407 -2.5986360966544098, 28.994967405240743 -2.6005473031475193, 28.992681536757566 -2.6022426187567738, 28.990240505367954 -2.603705716666102, 28.987667819538586 -2.604922506442827, 28.984988255640378 -2.605881269736234, 28.982227619338467 -2.6065727731316937, 28.979412497069557 -2.6069903570734936, 28.97657 -2.6071299999999997, 28.97372750293044 -2.6069903570734936, 28.97091238066153 -2.6065727731316937, 28.96815174435962 -2.605881269736234, 28.96547218046141 -2.604922506442827, 28.962899494632044 -2.603705716666102, 28.960458463242432 -2.6022426187567738, 28.958172594759255 -2.6005473031475193, 28.95606390334559 -2.5986360966544098, 28.95415269685248 -2.5965274052407454, 28.952457381243224 -2.5942415367575684, 28.9509942833339 -2.591800505367954, 28.94977749355717 -2.5892278195385874, 28.948818730263763 -2.586548255640379, 28.948127226868305 -2.5837876193384677, 28.947709642926505 -2.580972497069557, 28.94757 -2.57813, 28.947709642926505 -2.5752875029304425, 28.948127226868305 -2.572472380661532, 28.948818730263763 -2.5697117443596205, 28.94977749355717 -2.5670321804614122, 28.9509942833339 -2.564459494632046, 28.952457381243224 -2.562018463242431, 28.95415269685248 -2.559732594759254, 28.95606390334559 -2.55762390334559, 28.958172594759255 -2.5557126968524804, 28.960458463242432 -2.554017381243226, 28.962899494632044 -2.5525542833338974, 28.96547218046141 -2.5513374935571727, 28.96815174435962 -2.5503787302637657, 28.97091238066153 -2.549687226868306, 28.97372750293044 -2.549269642926506, 28.97657 -2.54913, 28.979412497069557 -2.549269642926506, 28.982227619338467 -2.549687226868306, 28.984988255640378 -2.5503787302637657, 28.987667819538586 -2.5513374935571727, 28.990240505367954 -2.5525542833338974, 28.992681536757566 -2.554017381243226, 28.994967405240743 -2.5557126968524804, 28.997076096654407 -2.55762390334559, 28.99898730314752 -2.559732594759254, 29.000682618756773 -2.562018463242431, 29.0021457166661 -2.564459494632046, 29.003362506442826 -2.5670321804614122, 29.004321269736234 -2.5697117443596205, 29.005012773131693 -2.572472380661532, 29.005430357073493 -2.5752875029304425, 29.00557 -2.57813))",21112
455,Rwanda - Rubirizi - 1014364,Ngoma,Rubirizi,1014364,Identified,Technical,006f100000eeuwFAAQ,2019,13110.0,4544.0,"POLYGON ((30.60856 -2.17331, 30.608420357073495 -2.176152497069557, 30.608002773131695 -2.1789676193384677, 30.607311269736236 -2.181728255640379, 30.60635250644283 -2.1844078195385874, 30.6051357166661 -2.186980505367954, 30.603672618756775 -2.1894215367575685, 30.60197730314752 -2.1917074052407455, 30.60006609665441 -2.19381609665441, 30.597957405240745 -2.1957273031475193, 30.595671536757568 -2.197422618756774, 30.593230505367956 -2.198885716666102, 30.59065781953859 -2.200102506442827, 30.58797825564038 -2.201061269736234, 30.58521761933847 -2.2017527731316937, 30.58240249706956 -2.2021703570734936, 30.57956 -2.2023099999999998, 30.576717502930443 -2.2021703570734936, 30.573902380661533 -2.2017527731316937, 30.571141744359622 -2.201061269736234, 30.568462180461413 -2.200102506442827, 30.565889494632046 -2.198885716666102, 30.563448463242434 -2.197422618756774, 30.561162594759256 -2.1957273031475193, 30.559053903345593 -2.19381609665441, 30.55714269685248 -2.1917074052407455, 30.555447381243226 -2.1894215367575685, 30.5539842833339 -2.186980505367954, 30.552767493557173 -2.1844078195385874, 30.551808730263765 -2.181728255640379, 30.551117226868307 -2.1789676193384677, 30.550699642926507 -2.176152497069557, 30.55056 -2.17331, 30.550699642926507 -2.1704675029304425, 30.551117226868307 -2.167652380661532, 30.551808730263765 -2.1648917443596205, 30.552767493557173 -2.1622121804614123, 30.5539842833339 -2.159639494632046, 30.555447381243226 -2.1571984632424313, 30.55714269685248 -2.1549125947592542, 30.559053903345593 -2.15280390334559, 30.561162594759256 -2.1508926968524804, 30.563448463242434 -2.149197381243226, 30.565889494632046 -2.1477342833338975, 30.568462180461413 -2.1465174935571727, 30.571141744359622 -2.1455587302637658, 30.573902380661533 -2.144867226868306, 30.576717502930443 -2.144449642926506, 30.57956 -2.14431, 30.58240249706956 -2.144449642926506, 30.58521761933847 -2.144867226868306, 30.58797825564038 -2.1455587302637658, 30.59065781953859 -2.1465174935571727, 30.593230505367956 -2.1477342833338975, 30.595671536757568 -2.149197381243226, 30.597957405240745 -2.1508926968524804, 30.60006609665441 -2.15280390334559, 30.60197730314752 -2.1549125947592542, 30.603672618756775 -2.1571984632424313, 30.6051357166661 -2.159639494632046, 30.60635250644283 -2.1622121804614123, 30.607311269736236 -2.1648917443596205, 30.608002773131695 -2.167652380661532, 30.608420357073495 -2.1704675029304425, 30.60856 -2.17331))",18315
